"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Flint                                                                                                                                                                                                                                                                   ","Master Plan for a Sustainable Flint                                                                                                                                                                                                                                                                                                                                                                                                              ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Grand Rapids                                                                                                                                                                                                                                                            ","Michigan Street Corridor Plan                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Traverse City                                                                                                                                                                                                                                                           ","Grand Traverse County Master Plan and Housing Strategy                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City                                                                                                                                                                                                                                                             ","Creating Sustainable Places Initiative                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City                                                                                                                                                                                                                                                             ","Creating Sustainable Places Initiative                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","University City                                                                                                                                                                                                                                                         ","Parkview Gardens: a sustainable and accessible neighborhood                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Warrensburg                                                                                                                                                                                                                                                             ","Highway 13/Maguire Street Corridor Study                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","MS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hattiesburg                                                                                                                                                                                                                                                             ","City of Hattiesburg MidTown Master Plan                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","High Point                                                                                                                                                                                                                                                              ","UPDATE High Point: Preparing for the 21st Century - An Ordinance Rewrite for a Sustainable Community                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Bedford                                                                                                                                                                                                                                                                 ","New Hampshire Community Planning Grant Program                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Claremont                                                                                                                                                                                                                                                               ","Comprehensive zoning analysis                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Lebanon                                                                                                                                                                                                                                                                 ","Policy Opportunities that Cultivate Foundations for Sustainable Communities                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Jersey City                                                                                                                                                                                                                                                             ","JCRA - Canal Crossing TIGER II / Community Challenge Planning Grant                                                                                                                                                                                                                                                                                                                                                                              ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Albuquerque                                                                                                                                                                                                                                                             ","Bridge Boulevard Corridor Redevelopment Plan                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Cochiti                                                                                                                                                                                                                                                                 ","Cochiti Community Planning Project                                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Binghamton                                                                                                                                                                                                                                                              ","Blueprint Binghamton: Forward Together                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Glens Falls                                                                                                                                                                                                                                                             ","Downtown Vision and Redevelopment Strategy                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Cincinnati                                                                                                                                                                                                                                                              ","Plan Build Live                                                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbus                                                                                                                                                                                                                                                                ","Agrarian Urbanist Overlay for Central City Redevelopment                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Warren                                                                                                                                                                                                                                                                  ","Warren Community Challenge Grant Program                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","OK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Oklahoma City                                                                                                                                                                                                                                                           ","PlanOKC                                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Beaverton                                                                                                                                                                                                                                                               ","Beaverton Creekside District Master Plan                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Hillsboro                                                                                                                                                                                                                                                               ","Aloha-Reedville Study and Livable Community Plan                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Pittsburgh                                                                                                                                                                                                                                                              ","Allegheny Riverfront Green Boulevard Plan                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"PSC - Community Challenge Planning                                                                                                                                                                                                                              ","RI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Providence                                                                                                                                                                                                                                                              ","Transportation Corridors to Livable Communities: Building Hubs for Housing, Jobs and the Arts Around Transit                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
