"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NV                                                                                                                                                                                                                                                             ","Las Vegas                                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                                        ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Awkesane                                                                                                                                                                                                                                                                ","St. Regis Mohawk Tribe                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Newburgh                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Concinatti                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Portland                                                                                                                                                                                                                                                                ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Reading                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","PR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Juan                                                                                                                                                                                                                                                                ","Cano Martin Pena                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Corpus Christi                                                                                                                                                                                                                                                          ","Cyndie Park                                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Newport News                                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Norfolk                                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","VT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Brattleboro                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Bremerton                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","WI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Milwaukee                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
"Making a Visible Difference in Communities                                                                                                                                                                                                                      ","WV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Huntington                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
