"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","North Las Vegas                                                                                                                                                                                                                                                         ","Urban Core                                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Buffalo                                                                                                                                                                                                                                                                 ","Perry                                                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",8
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","NYC, South Bronx                                                                                                                                                                                                                                                        ","Mott Haven in South Bronx                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Yonkers                                                                                                                                                                                                                                                                 ","Croton Heights                                                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Cincinatti                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",6
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Cleveland                                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",3
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Cleveland                                                                                                                                                                                                                                                               ","Mt. Pleasant                                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbus                                                                                                                                                                                                                                                                ","Near East Side                                                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","OK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Tulsa                                                                                                                                                                                                                                                                   ","Eugene Field                                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Philadelphia                                                                                                                                                                                                                                                            ","Mantua                                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"NRI - Choice Neighborhoods                                                                                                                                                                                                                                      ","RI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Providence                                                                                                                                                                                                                                                              ","                                                                                                                                                                                                                                                                                                                                                                                                                                                 ","                                                                                                                                                   ",1
