"Initiative","State","County","City","Recipient","Links",Number Of Initiatives
"SBA Resources                                                                                                                                                                                                                                                   ","ME                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Augusta                                                                                                                                                                                                                                                                 ","Maine District Office                                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Detroit                                                                                                                                                                                                                                                                 ","Michigan District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Minneapolis                                                                                                                                                                                                                                                             ","Minnesota District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Kansas City                                                                                                                                                                                                                                                             ","Kansas City District Office                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MO                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","St. Louis                                                                                                                                                                                                                                                               ","St. Louis District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MS                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Jackson                                                                                                                                                                                                                                                                 ","Mississippi District Office                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","MT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Helena                                                                                                                                                                                                                                                                  ","Montana District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Charlotte                                                                                                                                                                                                                                                               ","North Carolina District Office                                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","ND                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Fargo                                                                                                                                                                                                                                                                   ","North Dakota District Office                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NE                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Omaha                                                                                                                                                                                                                                                                   ","Nebraska District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Concord                                                                                                                                                                                                                                                                 ","New Hampshire District Office                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NJ                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Newark                                                                                                                                                                                                                                                                  ","New Jersey District Office                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NM                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Albuquerque                                                                                                                                                                                                                                                             ","New Mexico District Office                                                                                                                                                                                                                                                                                                                                                                                                                       ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Las Vegas                                                                                                                                                                                                                                                               ","Nevada District Office                                                                                                                                                                                                                                                                                                                                                                                                                           ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Buffalo                                                                                                                                                                                                                                                                 ","Buffalo District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","New York                                                                                                                                                                                                                                                                ","New York District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","NY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Syracuse                                                                                                                                                                                                                                                                ","Syracuse District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Cleveland                                                                                                                                                                                                                                                               ","Cleveland District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","OH                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbus                                                                                                                                                                                                                                                                ","Columbus District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","OK                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Oklahoma City                                                                                                                                                                                                                                                           ","Oklahoma District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Boise                                                                                                                                                                                                                                                                   ","Boise District Office                                                                                                                                                                                                                                                                                                                                                                                                                            ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","OR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Portland                                                                                                                                                                                                                                                                ","Portland District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Phildelphia                                                                                                                                                                                                                                                             ","Philadelphia District Office                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","PA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Pittsburg                                                                                                                                                                                                                                                               ","Pittsburg District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","PR                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Juan                                                                                                                                                                                                                                                                ","Puerto Rico District Office                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","RI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Providence                                                                                                                                                                                                                                                              ","Rhode Island District Office                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","SC                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Columbia                                                                                                                                                                                                                                                                ","South Carolina District Office                                                                                                                                                                                                                                                                                                                                                                                                                   ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","SD                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Sioux Falls                                                                                                                                                                                                                                                             ","South Dakota District Office                                                                                                                                                                                                                                                                                                                                                                                                                     ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","TN                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Nashville                                                                                                                                                                                                                                                               ","Tennessee District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Dallas/Fort Worth                                                                                                                                                                                                                                                       ","Dallas/Forth Worth District Office                                                                                                                                                                                                                                                                                                                                                                                                               ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","El Paso                                                                                                                                                                                                                                                                 ","El Paso District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Harlingen                                                                                                                                                                                                                                                               ","Harlingen District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Houston                                                                                                                                                                                                                                                                 ","Houston District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Lubbock                                                                                                                                                                                                                                                                 ","Lubbock District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","TX                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","San Antonio                                                                                                                                                                                                                                                             ","San Antonio District Office                                                                                                                                                                                                                                                                                                                                                                                                                      ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","UT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Salt Lake City                                                                                                                                                                                                                                                          ","Utah District Office                                                                                                                                                                                                                                                                                                                                                                                                                             ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Richmond                                                                                                                                                                                                                                                                ","Richmond District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","VA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Washington D.C.                                                                                                                                                                                                                                                         ","Washington D.C. District Office                                                                                                                                                                                                                                                                                                                                                                                                                  ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","VT                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Motpelier                                                                                                                                                                                                                                                               ","Vermont District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Portland                                                                                                                                                                                                                                                                ","Portland District Office                                                                                                                                                                                                                                                                                                                                                                                                                         ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","WA                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Seattle                                                                                                                                                                                                                                                                 ","Seattle District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","WI                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Milwaukee                                                                                                                                                                                                                                                               ","Wisconsin District Office                                                                                                                                                                                                                                                                                                                                                                                                                        ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","WV                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Clarksburg                                                                                                                                                                                                                                                              ","West Virginia District Office                                                                                                                                                                                                                                                                                                                                                                                                                    ","                                                                                                                                                   ",1
"SBA Resources                                                                                                                                                                                                                                                   ","WY                                                                                                                                                                                                                                                             ","                                                                                                                                                                                                                                                               ","Casper                                                                                                                                                                                                                                                                  ","Wyoming District Office                                                                                                                                                                                                                                                                                                                                                                                                                          ","                                                                                                                                                   ",1
